104_1 9383833 1-100
104_2 9653850 1-100
104_3 9882002 1-100
104_4 9743692 1-100
114_1 8815341 1-100
114_2 8881483 1-100
114_3 9245648 1-100
114_4_C5H1BACXX 8706747 1-100
131_1_C5H1BACXX 9578867 1-100
131_2 9339766 1-100
131_3 9470237 1-100
131_4 9371650 1-100
135_1 9663168 1-100
135_2_C5H1BACXX 10319812 1-100
135_3 8949667 1-100
135_4 8863945 1-100
158_1 13835052 1-100
158_2 9365104 1-100
158_3_C5H1BACXX 9235632 1-100
158_4 8156624 1-100
17_1 9671383 1-100
17_2_C5H1BACXX 9238265 1-100
17_3 9582956 1-100
17_4 9225130 1-100
182_1 9391388 1-100
182_2 9395603 1-100
182_3 9323131 1-100
182_4_C5H1BACXX 9571362 1-100
187_1 9117907 1-100
187_2 8973286 1-100
187_3 9069478 1-100
187_4_C5H1BACXX 8522998 1-100
203_1 9950816 1-100
203_2 9198728 1-100
203_3 9544127 1-100
203_4 9028268 1-100
240_1_C5H1BACXX 9324768 1-100
240_2 8980704 1-100
240_3 9022524 1-100
240_4 9275278 1-100
257_1 9762207 1-100
257_2_C5H1BACXX 9363793 1-100
257_3 9806088 1-100
257_4 9877612 1-100
269_1 8868025 1-100
269_2 8471271 1-100
269_3 8893590 1-100
269_4_C5H1BACXX 8581958 1-100
274_2 9047288 1-100
274_3_C5H1BACXX 8575590 1-100
274_4 8765727 1-100
279_1 9574625 1-100
279_2 9328722 1-100
279_3_C5H1BACXX 8741680 1-100
279_4 9367344 1-100
316_1 8593005 1-100
316_2 9193268 1-100
316_4 8811284 1-100
345_1_1 8323685 1-100
345_2_1 8315650 1-100
345_3_1_C1802ACXX 7731636 1-100
345_4_1 7834465 1-100
349_1_1 7820507 1-100
349_2_1 7889933 1-100
349_3_1 6715700 1-100
349_4_1_C1802ACXX 7265098 2-100
356_1_1_C1802ACXX 7276997 1-100
356_2_1 6549660 1-100
356_3_1 7095578 1-100
356_4_1 6933578 1-100
373_1_1 7228687 1-100
373_2_1_C1802ACXX 7716250 1-100
373_3_1 8032017 1-100
373_4_1 7431657 1-100
412_1 8959244 1-100
412_2 9500100 1-100
412_3_C5H1BACXX 8989763 1-100
412_4 8259156 1-100
42_1 9010324 1-100
42_2 9075464 1-100
42_3_C5H1BACXX 8919498 1-100
42_4 9180833 1-100
468_1 8730158 1-100
468_2 8954663 1-100
468_3 8898450 1-100
468_4 9171948 1-100
487_1 8522818 1-100
487_2 9057111 1-100
487_3 8940018 1-100
487_4_C5H1BACXX 9186355 1-100
520_1 9767636 1-100
520_2 9642305 1-100
520_3 9403662 1-100
520_4_C5H1BACXX 8253095 1-100
588_1 10044093 1-100
588_2_C5H1BACXX 10024255 1-100
588_3 9527683 1-100
588_4 10174487 1-100
717_1_C5H1BACXX 9334691 1-100
717_2 8949609 1-100
717_3 8795044 1-100
717_4 9015851 1-100
721_1 9513342 1-100
721_2 9376497 1-100
721_3 9204759 1-100
721_4_C5H1BACXX 9596491 1-100
731_1_C5H1BACXX 8663543 1-100
731_2 8842299 1-100
731_3 8969078 1-100
731_4 8548234 1-100
749_1_1 6206058 1-100
749_2_1 6543870 1-100
749_3_1 6732993 1-100
749_4_1_C1802ACXX 6264084 1-100
759_1 10046175 1-100
759_2_C5H1BACXX 10053331 1-100
759_3 9683699 1-100
759_4 9529004 1-100
77_1 9463932 1-100
77_2 9595195 1-100
77_3 9077913 1-100
77_4_C5H1BACXX 9638875 1-100
832_2 9111666 1-100
832_3 8055444 1-100
832_4 9073548 1-100
849_1 9224422 1-100
849_2 9039932 1-100
849_3_C5H1BACXX 8893753 1-100
849_4 8998627 1-100
859_1_1 7245745 1-100
859_2_1 7018709 1-100
859_3_1 7907470 1-100
859_4_1 7487569 1-100
877_1 9216472 1-100
877_2 9628458 1-100
877_3 9340571 1-100
877_4_C5H1BACXX 9528428 1-100
879_1 9409064 1-100
879_2 9330668 1-100
879_3 9266474 1-100
879_4 8890058 1-100
88_1 9602229 1-100
88_2 9523729 1-100
88_3 9191811 1-100
88_4_C5H1BACXX 8875282 1-100
